Question,Resilience_ID
language,4
belonging,4
cultural_activities,4
te_reo,4
cultural_knowledge,4
trust_nz_government,5
trust_local_council,5
trust_nz_police,5
safety,3
discrimination,3
loneliness,3
independence,3
support_in_crisis,3
level_of_control,3
volunteering_time,3
paid_working_hours,1
job_satisfaction,1
work_life_balance,3
leisure_time,3
be_yourself_in_nz,3
be_yourself_in_newlands,3
life_satisfaction,3
meaning_and_purpose,3
family_wellbeing,3
access_to_natural_environment,2
work_travel_time,1
basic_life_skills,1
newlands_resident,6
satisfaction_income,1
confident_in_finding_a_new_job,1
confident_water_safety,2
optimal_use_of_land,2
personal_mental_health,3
vote_local_elections_2019,5
vote_general_election_2020,5
voted_local_elections_2022,5
voted_general_elections_2023,5
home_disaster_ready,3
neighbourhood_support_group,3
out_of_newlands_during_day,3
place_out_of_newlands_disaster_ready,3
