Question,Resilience_ID,include,reverse,type
language,4,1,0,scale
belonging,4,1,0,scale
cultural_activities,4,1,0,scale
te_reo,4,1,0,scale
cultural_knowledge,4,1,0,scale
trust_nz_government,5,1,0,scale
trust_local_council,5,1,0,scale
trust_nz_police,5,1,0,scale
safety,3,1,0,scale
discrimination,3,1,1,scale
loneliness,3,1,1,scale
independence,3,1,0,scale
support_in_crisis,3,1,0,scale
level_of_control,3,1,0,scale
volunteering_time,3,1,0,scale
paid_working_hours,1,1,0,time_hours
job_satisfaction,1,1,0,scale
work_life_balance,3,1,0,scale
leisure_time,3,1,0,time_minutes
be_yourself_in_nz,3,1,0,scale
be_yourself_in_newlands,3,1,0,scale
life_satisfaction,3,1,0,scale
meaning_and_purpose,3,1,0,scale
family_wellbeing,3,1,0,scale
access_to_natural_environment,2,1,0,scale
work_travel_time,1,1,0,time_minutes
basic_life_skills,1,1,0,scale
newlands_resident,6,1,0,binary
satisfaction_income,1,1,0,scale
confident_in_finding_a_new_job,1,1,0,scale
confident_water_safety,2,1,0,scale
optimal_use_of_land,2,1,0,scale
personal_mental_health,3,1,0,scale
vote_local_elections_2019,5,1,0,binary
vote_general_election_2020,5,1,0,binary
voted_local_elections_2022,5,1,0,binary
voted_general_elections_2023,5,1,0,binary
home_disaster_ready,6,1,0,binary
neighbourhood_support_group,3,1,0,binary
out_of_newlands_during_day,6,1,0,binary
place_out_of_newlands_disaster_ready,6,1,0,binary
