column_name,pillar_id,pillar_name,metric_label,metric_type,direction
paid_working_hours,1,Economic,Paid working hours,derived_continuous,Higher=more hours
job_satisfaction,1,Economic,Job satisfaction,score,Higher=more positive
work_travel_time,1,Economic,Work travel time,derived_continuous,Higher=more travel time
basic_life_skills,1,Economic,Basic life skills,score,Higher=more positive
satisfaction_income,1,Economic,Income satisfaction,score,Higher=more positive
confident_in_finding_a_new_job,1,Economic,Confidence in finding a new job,score,Higher=more positive
access_to_natural_environment,2,Environment,Access to natural environment,score,Higher=more positive
confident_water_safety,2,Environment,Confidence in water safety,score,Higher=more positive
optimal_use_of_land,2,Environment,Optimal use of land,score,Higher=more positive
safety,3,Social,Safety,score,Higher=more positive
discrimination,3,Social,Discrimination,score,Higher=more severe/problematic
loneliness,3,Social,Loneliness,score,Higher=more severe/problematic
independence,3,Social,Independence,score,Higher=more positive
support_in_crisis,3,Social,Support in crisis,score,Higher=more positive
level_of_control,3,Social,Level of control,score,Higher=more positive
volunteering_time,3,Social,Volunteering time,score,Higher=more volunteering
work_life_balance,3,Social,Work-life balance,score,Higher=more positive
leisure_time,3,Social,Leisure time,derived_continuous,Higher=more time
be_yourself_in_nz,3,Social,Be yourself in NZ,score,Higher=more positive
be_yourself_in_newlands,3,Social,Be yourself in Newlands,score,Higher=more positive
life_satisfaction,3,Social,Life satisfaction,score,Higher=more positive
meaning_and_purpose,3,Social,Meaning and purpose,score,Higher=more positive
family_wellbeing,3,Social,Family wellbeing,score,Higher=more positive
personal_mental_health,3,Social,Personal mental health,score,Higher=more positive
language,4,Cultural,Language,score,Higher=more positive
belonging,4,Cultural,Sense of belonging,score,Higher=more positive
cultural_activities,4,Cultural,Cultural activities,score,Higher=more positive
te_reo,4,Cultural,Te Reo,score,Higher=more positive
cultural_knowledge,4,Cultural,Cultural knowledge,score,Higher=more positive
trust_nz_government,5,Governance,Trust in NZ government,score,Higher=more positive
trust_local_council,5,Governance,Trust in local council,score,Higher=more positive
trust_nz_police,5,Governance,Trust in NZ Police,score,Higher=more positive
vote_local_elections_2019,5,Governance,Voted in local elections 2019,binary,Higher=Yes
vote_general_election_2020,5,Governance,Voted in general election 2020,binary,Higher=Yes
voted_local_elections_2022,5,Governance,Voted in local elections 2022,binary,Higher=Yes
voted_general_elections_2023,5,Governance,Voted in general elections 2023,binary,Higher=Yes
home_disaster_ready,6,Disaster,Home disaster ready,binary,Higher=Yes
neighbourhood_support_group,6,Disaster,Neighbourhood support group,binary,Higher=Yes
out_of_newlands_during_day,6,Disaster,Out of Newlands during day,binary,Higher=Yes
place_out_of_newlands_disaster_ready,6,Disaster,Place out of Newlands disaster ready,binary,Higher=Yes
